fips,metro,class,net_international,net_domestic,,,,,,,,
29460,"Lakeland-Winter Haven, FL",3,16681,38612,,,,,,,,
36260,"Ogden-Clearfield, UT",3,4284,7705,,,,,,,,
19660,"Deltona-Daytona Beach-Ormond Beach, FL",3,8180,50624,,,,,,,,
19780,"Des Moines-West Des Moines, IA",3,9697,26866,,,,,,,,
27140,"Jackson, MS",1,3073,-7332,,,,,,,,
49660,"Youngstown-Warren-Boardman, OH-PA",1,2021,-13824,,,,,,,,
12260,"Augusta-Richmond County, GA-SC",3,5722,9771,,,,,,,,
42540,"Scranton--Wilkes-Barre--Hazleton, PA",1,8077,-7360,,,,,,,,
25420,"Harrisburg-Carlisle, PA",1,10150,-566,,,,,,,,
37340,"Palm Bay-Melbourne-Titusville, FL",3,7697,35263,,,,,,,,
16860,"Chattanooga, TN-GA",3,3376,14250,,,,,,,,
44060,"Spokane-Spokane Valley, WA",3,5427,12394,,,,,,,,
39340,"Provo-Orem, UT",3,5017,8394,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
